Temperature (K),Composition (B fraction),Energy (eV),Gibbs Free Energy (eV)
1244.4444444444443,0.2,-10.446787145996094,-10.462703393977053
1244.4444444444443,0.30000000000000004,-11.427151742362977,-11.447593467259383
1244.4444444444443,0.4,-12.40363370666504,-12.426701796837799
1244.4444444444443,0.5,-13.376233038902283,-13.400162482209057
1244.4444444444443,0.6000000000000001,-14.344949739074709,-14.368017829247467
1244.4444444444443,0.7000000000000001,-15.309783807182313,-15.33022553207872
1244.4444444444443,0.8,-16.2707352432251,-16.286651491206058
1244.4444444444443,0.9,-17.227804047203065,-17.237045561395895
1244.4444444444443,1.0,-18.18099021911621,-18.18099021911621
1433.3333333333333,0.0,-8.474410057067871,-8.474410057067871
1433.3333333333333,0.1,-9.462539917564392,-9.473184161590062
1433.3333333333333,0.2,-10.446787145996094,-10.465119253045591
1433.3333333333333,0.30000000000000004,-11.427151742362977,-11.450696229074016
1433.3333333333333,0.4,-12.40363370666504,-12.430203203381877
1433.3333333333333,0.5,-13.376233038902283,-13.403794629853834
1433.3333333333333,0.6000000000000001,-14.344949739074709,-14.371519235791546
1433.3333333333333,0.7000000000000001,-15.309783807182313,-15.333328293893352
1433.3333333333333,0.8,-16.2707352432251,-16.2890673502746
1433.3333333333333,0.9,-17.227804047203065,-17.238448291228735
1433.3333333333333,1.0,-18.18099021911621,-18.18099021911621
1622.2222222222222,0.0,-8.474410057067871,-8.474410057067871
1622.2222222222222,0.1,-9.462539917564392,-9.474586891422902
1622.2222222222222,0.2,-10.446787145996094,-10.46753511211413
1622.2222222222222,0.30000000000000004,-11.427151742362977,-11.453798990888648
1622.2222222222222,0.4,-12.40363370666504,-12.433704609925957
1622.2222222222222,0.5,-13.376233038902283,-13.407426777498614
1622.2222222222222,0.6000000000000001,-14.344949739074709,-14.375020642335626
1622.2222222222222,0.7000000000000001,-15.309783807182313,-15.336431055707985
1622.2222222222222,0.8,-16.2707352432251,-16.291483209343138
1622.2222222222222,0.9,-17.227804047203065,-17.239851021061575
1622.2222222222222,1.0,-18.18099021911621,-18.18099021911621
1811.111111111111,0.0,-8.474410057067871,-8.474410057067871
1811.111111111111,0.1,-9.462539917564392,-9.475989621255742
1811.111111111111,0.2,-10.446787145996094,-10.469950971182667
1811.111111111111,0.30000000000000004,-11.427151742362977,-11.456901752703281
1811.111111111111,0.4,-12.40363370666504,-12.437206016470036
1811.111111111111,0.5,-13.376233038902283,-13.411058925143392
1811.111111111111,0.6000000000000001,-14.344949739074709,-14.378522048879704
1811.111111111111,0.7000000000000001,-15.309783807182313,-15.339533817522618
1811.111111111111,0.8,-16.2707352432251,-16.293899068411676
1811.111111111111,0.9,-17.227804047203065,-17.241253750894415
1811.111111111111,1.0,-18.18099021911621,-18.18099021911621
2000.0,0.0,-8.474410057067871,-8.474410057067871
2000.0,0.1,-9.462539917564392,-9.477392351088582
2000.0,0.2,-10.446787145996094,-10.472366830251207
2000.0,0.30000000000000004,-11.427151742362977,-11.460004514517914
2000.0,0.4,-12.40363370666504,-12.440707423014116
2000.0,0.5,-13.376233038902283,-13.41469107278817
2000.0,0.6000000000000001,-14.344949739074709,-14.382023455423784
2000.0,0.7000000000000001,-15.309783807182313,-15.34263657933725
2000.0,0.8,-16.2707352432251,-16.296314927480214
2000.0,0.9,-17.227804047203065,-17.242656480727256
2000.0,1.0,-18.18099021911621,-18.18099021911621
